Maker,Model,Adv_year,Adv_month,Color,Reg_year,Bodytype,Runned_Miles,Engin_size,Gearbox,Fuel_type,Price,Seat_num,Door_num,issue,issue_id,Adv_day,breakdown_date,repair_complexity,repair_cost,repair_hours,Claim,category_anomaly,repair_date
Citroen,DS3,2018,3,Red,2011,Hatchback,36284,1.6L,Automatic,Petrol,6995,4,3,Excessive Emissions,0,28,3/28/18,2,46.2955,2,0,0,3/28/18
Ford,B-Max,2018,6,Silver,2016,MPV,24338,1.0L,Manual,Petrol,9200,5,5,Excessive Emissions,0,22,6/22/18,1,28.28,1,0,0,6/22/18
Ford,Focus,2021,5,Red,2019,Hatchback,22000,1.5L,Manual,Diesel,16500,5,5,Flat Tyres,0,24,5/24/21,1,143.3806355,1,1,0,5/24/21
Ford,Ranger,2018,4,Blue,2013,Pickup,71000,2.2L,Manual,Diesel,13788,5,4,Electrical Issue,5,25,4/25/18,1,264.6245798,3,1,0,4/25/18
Dacia,Duster,2018,8,Silver,2015,SUV,74771,1.5L,Manual,Diesel,6995,5,5,Transmission Issue,2,18,8/18/18,1,108.965,3,0,0,8/18/18
Ford,Fiesta,2018,3,Red,2006,Hatchback,110000,1.25L,Manual,Petrol,1189,5,3,Starter Motor Issue,0,27,3/27/18,1,71.89,3,0,0,3/27/18
Ford,Galaxy,2018,5,Black,2004,MPV,128220,1.9L,Manual,Diesel,1895,7,5,Engine Issue,3,28,5/28/18,1,429.5,12,0,0,5/31/18
Ferrari,458,2017,12,White,2012,Coupe,19200,4.5L,Automatic,Petrol,154990,2,2,Windscreen Crack,0,3,12/3/17,3,152.994,3,0,0,12/3/17
Fiat,500X,2018,7,Gelb,2017,SUV,15583,1.4L,Manual,Petrol,12995,5,5,Tyre Alignment,0,28,7/28/18,1,11.2995,0.5,1,1,7/28/18
Ford,Fiesta,2018,8,Silver,2006,Hatchback,89300,2.0L,Manual,Petrol,2495,5,3,Brake Pads Worn,0,1,8/1/18,1,41.2475,2,0,0,8/1/18
Honda,CR-V,2018,3,Grey,2015,SUV,51730,1.6L,Manual,Diesel,13000,5,5,Sensor Malfunction,0,28,3/28/18,1,710,3,0,0,3/28/18
Dacia,Sandero,2021,4,White,2019,Hatchback,34428,1.0L,Manual,Petrol,6989,5,5,Steering Wheel Shaking,0,3,4/3/21,1,26.989,1,0,0,4/3/21
Honda,Civic,2018,6,Silver,2001,Hatchback,49978,1.4L,Manual,Petrol,1495,5,5,Electrical Issue,2,20,6/20/18,1,12.99,0.5,0,0,6/20/18
Citroen,C4,2018,8,Red,2017,Hatchback,3970,1.6L,Manual,Diesel,10490,5,5,Sensor Malfunction,0,2,8/2/18,2,644.5,6,0,0,8/3/18
Citroen,C3,2018,8,Black,2010,Hatchback,95000,1.6L,Manual,Diesel,3650,5,5,Radiator Leaking,0,17,8/17/18,2,153,4,0,0,8/18/18
Ferrari,California,2018,8,Black,2010,Convertible,11500,4.3L,Automatic,Petrol,89975,4,2,Excessive Emissions,0,17,8/17/18,3,140.9775,3,0,0,8/17/18
Ford,Mondeo,2018,8,Grey,2014,Hatchback,46000,2.0L,Manual,Diesel,8995,5,5,Tyre Alignment,0,12,8/12/18,1,10.8995,0.5,0,0,8/12/18
Ford,Galaxy,2018,3,Black,2013,MPV,159000,2.0L,Automatic,Diesel,4289,7,5,Alternator Failing,0,15,3/15/18,1,125.78,2,0,0,3/15/18
Dacia,Sandero Stepway,2018,7,White,2017,Hatchback,11675,1.5L,Manual,Diesel,8300,5,5,Starter Motor Issue,0,1,7/1/18,1,143,3,0,0,7/1/18
Ford,Mondeo,2017,9,Black,2008,Hatchback,73000,1.6L,Manual,Petrol,2995,5,5,Electrical Issue,3,15,9/15/17,1,138.0061315,1,1,0,9/15/17
Citroen,C3,2018,8,Purple,2016,Hatchback,23670,1.6L,Manual,Diesel,6730,5,5,Sensor Malfunction,0,9,8/9/18,2,456.5,6,0,0,8/10/18
Ford,Galaxy,2018,4,Blue,2014,MPV,39416,2.0L,Manual,Diesel,12812,7,5,Radiator Leaking,0,28,4/28/18,1,296.24,2,0,0,4/28/18
Ford,Focus,2018,7,Blue,2008,Estate,187500,1.6L,Manual,Diesel,1450,5,5,Warning Light,0,16,7/16/18,1,194.5,9,0,0,7/18/18
Citroen,C3 Aircross,2018,7,Grey,2017,SUV,5928,1.6L,Manual,Diesel,14321,5,5,Engine Issue,1,13,7/13/18,2,3184.2,16,0,0,7/17/18
Chevrolet,Orlando,2018,6,Gelb,2012,Estate,64742,1.8L,Manual,Petrol,5270,7,5,Steering Wheel Shaking,0,2,6/2/18,1,25.27,1,1,1,6/2/18
Ford,Focus,2021,5,Silver,2019,Hatchback,18631,1.0L,Manual,Petrol,13799,5,5,Flat Tyres,0,23,5/23/21,1,24.1397,1,0,0,5/23/21
Ford,Focus,2018,5,Red,2000,Hatchback,102785,1.8L,Manual,Petrol,799,5,5,Sensor Malfunction,0,17,5/17/18,1,99.95,3,0,0,5/17/18
Ford,Grand C-Max,2018,5,Grey,2016,MPV,26106,1.0L,Manual,Petrol,12800,7,5,Gear Box Issue,0,28,5/28/18,1,168,2,0,0,5/28/18
Citroen,C4,2018,7,Red,2011,Hatchback,39500,1.6L,Automatic,Diesel,5590,5,5,Windscreen Crack,0,17,7/17/18,2,43.354,2,0,0,7/17/18
Abarth,595,2018,8,Red,2015,Hatchback,38954,1.4L,Manual,Petrol,9794,4,3,Brake Pads Worn,0,17,8/17/18,2,84.897,4,0,0,8/18/18
Ford,Mondeo,2018,6,Silver,2016,Estate,24448,2.0L,Automatic,Diesel,15978,5,5,Electrical Issue,1,20,6/20/18,1,55.978,2,0,0,6/20/18
Ford,Mondeo,2018,4,Gelb,2017,Estate,5106,2.0L,Automatic,Petrol,25499,5,5,Gear Box Issue,0,8,4/8/18,1,1212.417224,1089.261645,1,1,4/10/18
Ford,Kuga,2018,8,Silver,2014,SUV,25984,2.0L,Manual,Diesel,10799,5,5,Brake Pads Worn,0,18,8/18/18,1,45.3995,2,0,0,8/18/18
Ford,Fiesta,2018,9,Gelb,2018,Hatchback,10,1.0L,Manual,Petrol,19955,15,5,Transmission Issue,2,15,9/15/18,1,199.685,3,1,1,9/15/18
Ford,B-Max,2018,7,White,2015,MPV,16085,1.4L,Manual,Petrol,7540,5,5,Brake Pads Worn,0,26,7/26/18,1,43.77,2,0,0,7/26/18
Dacia,Sandero Stepway,2018,7,Brown,2018,Hatchback,23,1.5L,Manual,Diesel,11991,5,5,Alternator Failing,0,17,7/17/18,1,279.82,2,0,0,7/17/18
Citroen,DS3,2018,1,Purple,2014,Hatchback,27099,1.6L,Manual,Petrol,7395,5,3,Electrical Issue,3,2,1/2/18,2,76.975,2,0,0,1/2/18
Honda,Civic,2018,3,Grey,2005,Hatchback,79500,1.6L,Manual,Petrol,2495,5,3,Steering Wheel Shaking,0,14,3/14/18,1,22.495,1,0,0,3/14/18
Dacia,Duster,2021,5,Orange,2019,SUV,11338,1.3L,Manual,Petrol,13771,5,5,Tyre Alignment,0,6,5/6/21,1,11.3771,0.5,0,0,5/6/21
Ford,Kuga,2018,8,Black,2015,SUV,21588,2.0L,Manual,Diesel,11495,5,5,Alternator Failing,0,23,8/23/18,1,269.9,2,0,0,8/23/18
Fiat,Grande Punto,2018,8,Blue,2007,Hatchback,66000,1.2L,Manual,Petrol,1495,4,3,Sensor Malfunction,0,9,8/9/18,1,134.75,3,0,0,8/9/18
Ford,Fiesta,2021,4,Black,2019,Hatchback,15894,1.0L,Manual,Petrol,12707,5,5,Engine Issue,2,10,4/10/21,1,2226.05,16,0,0,4/14/21
Ford,Focus,2018,7,Red,2017,Hatchback,19467,1.0L,Manual,Petrol,11599,5,5,Engine Issue,1,3,7/3/18,1,2479.8,8,0,0,7/5/18
Ford,Galaxy,2018,5,Red,2017,MPV,7907,2.0L,Manual,Diesel,23995,7,5,Windscreen Crack,0,2,5/2/18,1,34.397,1,0,0,5/2/18
Ford,Fiesta,2018,8,Silver,2015,Car Derived Van,33964,1.5L,Manual,Diesel,9333,2,3,Engine Issue,1,19,8/19/18,1,2026.6,8,0,0,8/21/18
Bentley,Continental,2018,7,Silver,2018,Coupe,1965,6.0L,Semi-Automatic,Petrol,184950,4,2,Flat Tyres,0,3,7/3/18,3,115.485,3,0,0,7/3/18
Ford,Kuga,2018,7,Grey,2009,SUV,59234,2.0L,Manual,Diesel,7250,5,5,Engine Issue,4,2,7/2/18,1,562.5,10,0,0,7/4/18
Ford,Kuga,2018,7,Black,2014,SUV,56649,2.0L,Manual,Diesel,12000,5,5,Excessive Emissions,0,4,7/4/18,1,30.8,1,0,0,7/4/18
Ford,Kuga,2018,5,Black,2008,SUV,89064,2.0L,Manual,Diesel,7500,5,5,Radiator Leaking,0,20,5/20/18,1,190,2,0,0,5/20/18
Ford,Fiesta,2018,7,Grey,2012,Hatchback,80000,1.6L,Manual,Diesel,4795,5,3,Brake Pads Worn,0,8,7/8/18,1,42.3975,2,0,0,7/8/18
Ford,Mondeo,2018,8,Brown,2013,Hatchback,58250,2.0L,Manual,Diesel,6995,5,5,Sensor Malfunction,0,11,8/11/18,1,409.75,3,0,0,8/11/18
Fiat,500,2018,8,Green,2014,Hatchback,50904,1.2L,Manual,Petrol,5500,4,3,Brake Pads Worn,0,21,8/21/18,1,42.75,2,0,0,8/21/18
Dacia,Sandero Stepway,2018,5,Gelb,2015,Hatchback,27850,0.9L,Manual,Petrol,6498,5,5,Warning Light,0,20,5/20/18,1,244.98,9,1,1,5/22/18
Ford,Focus,2018,7,Grey,2016,Hatchback,43327,1.0L,Manual,Petrol,9445,5,5,Windscreen Crack,0,27,7/27/18,1,135.2946456,95.30341247,1,0,8/19/18
Ford,B-Max,2018,7,Silver,2016,MPV,10000,1.6L,Automatic,Petrol,9795,5,5,Gear Box Issue,0,11,7/11/18,1,137.95,2,0,0,7/11/18
Citroen,C3 Aircross,2017,11,Gelb,2017,SUV,3000,1.6L,Manual,Diesel,15995,5,5,Windscreen Crack,0,10,11/10/17,2,49.597,2,1,1,11/10/17
Dacia,Sandero,2017,1,Black,2016,Hatchback,5,1.5L,Manual,Diesel,8095,5,5,Excessive Emissions,0,13,1/13/17,1,27.2855,1,0,0,1/13/17
Ford,Focus,2018,7,Gelb,2012,Hatchback,85000,1.6L,Manual,Diesel,6795,5,5,Starter Motor Issue,0,14,7/14/18,1,127.95,3,1,1,7/14/18
Fiat,Bravo,2018,5,Black,2007,Hatchback,113125,1.9L,Manual,Diesel,1500,5,5,Sensor Malfunction,0,19,5/19/18,1,135,3,0,0,5/19/18
Ford,Focus CC,2018,4,Black,2008,Convertible,24000,2.0L,Manual,Petrol,5000,4,2,Excessive Emissions,0,10,4/10/18,1,24.5,1,0,0,4/10/18
Citroen,DS3,2018,4,Grey,2016,Hatchback,5693,1.2L,Automatic,Petrol,12695,17,0,Alternator Failing,0,14,4/14/18,2,1754.21161,1137.288867,1,0,4/28/18
Honda,CR-V,2018,4,Black,2016,SUV,7820,1.6L,Manual,Diesel,18999,5,5,Warning Light,0,24,4/24/18,1,369.99,9,0,0,4/26/18
Ford,Grand C-Max,2018,4,Silver,2012,MPV,24196,1.6L,Manual,Petrol,8795,7,5,Gear Box Issue,0,11,4/11/18,1,127.95,2,0,0,4/11/18
Ford,Focus,2018,5,Gelb,2006,Hatchback,91000,2.5L,Manual,Petrol,5250,5,3,Alternator Failing,0,19,5/19/18,1,145,2,1,1,5/19/18
Fiat,500,2018,8,Blue,2012,Hatchback,43898,0.9L,Manual,Petrol,4991,4,3,Transmission Issue,1,3,8/3/18,1,405.9028764,319.3023359,1,0,8/22/18
Ford,Ka,2018,5,Gelb,2008,Hatchback,64000,1.3L,Manual,Petrol,1000,5,3,Brake Pads Worn,0,2,5/2/18,1,40.5,2,1,1,5/2/18
Bentley,Continental,2018,5,Blue,2008,Convertible,40386,6.0L,Automatic,Petrol,55000,4,2,Sensor Malfunction,0,22,5/22/18,3,2930,9,0,0,5/24/18
Citroen,DS4,2018,4,Silver,2011,Hatchback,90000,1.6L,Manual,Diesel,3999,5,5,Starter Motor Issue,0,9,4/9/18,2,159.99,6,0,0,4/10/18
Ford,Ka,2018,6,Silver,2010,Hatchback,75000,1.2L,Manual,Petrol,3495,4,3,Steering Wheel Shaking,0,3,6/3/18,1,23.495,1,0,0,6/3/18
Ford,Focus,2018,7,Blue,2014,Hatchback,40573,1.6L,Manual,Diesel,7948,5,5,Tyre Alignment,0,15,7/15/18,1,10.7948,0.5,0,0,7/15/18
Ford,Ranger,2018,8,Silver,2018,Pickup,50,3.2L,Automatic,Diesel,44280,5,4,Gear Box Issue,0,9,8/9/18,1,482.8,2,0,0,8/9/18
Daihatsu,Sirion,2018,5,Red,2006,Hatchback,58000,1.0L,Manual,Petrol,600,5,5,Alternator Failing,0,21,5/21/18,3,132,6,0,0,5/22/18
Ford,Ka,2018,8,Blue,2008,Hatchback,47000,1.3L,Manual,Petrol,1200,5,3,Windscreen Crack,0,11,8/11/18,1,20.72,1,0,0,8/11/18
Ford,Fiesta,2018,4,Green,2008,Hatchback,90000,1.25L,Manual,Petrol,2995,5,3,Engine Issue,1,21,4/21/18,1,759,8,0,0,4/23/18
Ford,Ka,2018,5,Gelb,2003,Hatchback,82503,1.3L,Manual,Petrol,550,5,3,Gear Box Issue,0,23,5/23/18,1,45.5,2,1,1,5/23/18
Citroen,C4 Picasso,2018,8,Beige,2017,MPV,8578,1.6L,Manual,Diesel,16300,5,5,Engine Issue,2,20,8/20/18,2,3085,32,0,0,8/28/18
Ford,Ka,2018,8,Black,2007,Hatchback,60000,1.3L,Manual,Petrol,799,5,3,Flat Tyres,0,4,8/4/18,1,20.2397,1,0,0,8/4/18
Fiat,500L,2018,3,Red,2014,MPV,17000,1.4L,Manual,Petrol,7350,5,5,Flat Tyres,0,9,3/9/18,1,22.205,1,0,0,3/9/18
Fiat,500,2018,7,Blue,2012,Hatchback,60000,1.2L,Manual,Petrol,4895,4,3,Electrical Issue,5,28,7/28/18,1,64.895,3,0,0,7/28/18
Ford,Fiesta,2018,6,Silver,2008,Hatchback,115000,2.0L,Manual,Petrol,1889,5,3,Tyre Alignment,0,18,6/18/18,1,10.1889,0.5,0,0,6/18/18
Ford,Focus,2018,4,Gelb,2013,Estate,-5257,1.6L,Manual,Diesel,5194,5,5,Gear Box Issue,0,14,4/14/18,1,91.94,2,1,1,4/14/18
Dacia,Sandero,2021,6,White,2019,Hatchback,3205,0.9L,Manual,Petrol,6999,5,5,Alternator Failing,0,27,6/27/21,1,545.03351,543.8285892,1,0,7/12/21
Ford,EcoSport,2018,2,White,2016,SUV,9632,1.0L,Manual,Petrol,9999,5,5,Steering Wheel Shaking,0,15,2/15/18,1,29.999,1,0,0,2/15/18
Ford,Mondeo,2018,8,Blue,2012,Hatchback,66554,2.0L,Manual,Diesel,6184,5,5,Alternator Failing,0,17,8/17/18,1,163.68,2,0,0,8/17/18
Citroen,C4,2018,8,Silver,2006,Hatchback,78000,1.6L,Manual,Petrol,1250,5,5,Flat Tyres,0,24,8/24/18,2,40.375,2,0,0,8/24/18
Fiat,500,2018,4,Grey,2009,Hatchback,41000,1.2L,Manual,Petrol,4475,4,3,Windscreen Crack,0,5,4/5/18,1,22.685,1,0,0,4/5/18
Ford,C-Max,2018,2,Blue,2017,MPV,17367,1.0L,Manual,Petrol,12300,5,5,Excessive Emissions,0,25,2/25/18,1,31.07,1,0,0,2/25/18
Honda,Jazz,2018,4,Red,2009,Hatchback,31000,1.4L,Automatic,Petrol,5675,5,5,Flat Tyres,0,22,4/22/18,1,21.7025,1,0,0,4/22/18
Ford,Focus CC,2018,5,Silver,2010,Convertible,57000,2.0L,Manual,Petrol,4500,4,2,Engine Issue,3,11,5/11/18,1,690,12,0,0,5/14/18
Ford,Fiesta,2018,8,Grey,2015,Hatchback,22145,1.25L,Manual,Petrol,7600,5,5,Alternator Failing,0,25,8/25/18,1,192,2,0,0,8/25/18
Ford,Focus,2018,8,Orange,2007,Hatchback,68142,2.5L,Manual,Petrol,6000,5,3,Electrical Issue,3,1,8/1/18,1,50,1,0,0,8/1/18
Ford,Focus,2018,7,White,2012,Hatchback,69520,1.6L,Manual,Diesel,5995,5,5,Engine Issue,3,20,7/20/18,1,839.5,12,0,0,7/23/18
Fiat,500,2018,5,Red,2013,Hatchback,37162,1.2L,Manual,Petrol,6000,4,3,Brake Pads Worn,0,21,5/21/18,1,43,2,0,0,5/21/18
Ford,Fiesta,2018,7,Silver,2005,Hatchback,99000,1.25L,Manual,Petrol,1199,5,5,Electrical Issue,1,18,7/18/18,1,41.199,2,0,0,7/18/18
Fiat,500,2018,7,Red,2016,Hatchback,19000,1.2L,Manual,Petrol,7500,4,3,Gear Box Issue,0,1,7/1/18,1,115,2,0,0,7/1/18
Fiat,500,2018,7,Black,2014,Hatchback,39341,1.2L,Manual,Petrol,5999,4,3,Transmission Issue,3,21,7/21/18,1,213.991,8,0,0,7/23/18
Fiat,500X,2018,7,Red,2016,SUV,15465,1.6L,Manual,Petrol,9500,5,5,Engine Issue,1,24,7/24/18,1,9133.103053,8,1,0,7/26/18
Ford,S-Max,2018,3,Silver,2010,MPV,108681,2.0L,Manual,Diesel,5290,7,5,Brake Pads Worn,0,26,3/26/18,1,42.645,2,0,0,3/26/18
Honda,Jazz,2018,3,Blue,2009,Hatchback,100000,1.2L,Manual,Petrol,1800,5,5,Brake Pads Worn,0,27,3/27/18,1,40.9,2,0,0,3/27/18
Ford,Focus CC,2018,5,Blue,2009,Convertible,58000,2.0L,Manual,Petrol,3295,4,2,Flat Tyres,0,22,5/22/18,1,20.9885,1,0,0,5/22/18
Ford,Kuga,2018,8,Silver,2012,SUV,124000,2.0L,Manual,Diesel,6994,5,5,Windscreen Crack,0,21,8/21/18,1,24.1964,1,0,0,8/21/18
Ford,Ka+,2018,4,Gelb,2017,Hatchback,4000,1.2L,Manual,Petrol,8695,5,5,Electrical Issue,3,24,4/24/18,1,63.475,1,1,1,4/24/18
Ford,Fiesta,2021,3,Grey,2019,Hatchback,10090,1.0L,Manual,Petrol,11850,5,5,Excessive Emissions,0,8,3/8/21,1,30.665,1,0,0,3/8/21
Fiat,Punto,2018,5,White,2018,Hatchback,10,1.2L,Manual,Petrol,10500,5,5,Engine Issue,3,27,5/27/18,1,1290,12,0,0,5/30/18
Ford,Ka,2018,6,Black,2010,Hatchback,26574,1.2L,Manual,Petrol,3500,4,3,Flat Tyres,0,17,6/17/18,1,21.05,1,0,0,6/17/18
Fiat,500L,2018,5,White,2015,MPV,15450,0.9L,Manual,Petrol,7999,5,5,Engine Issue,2,28,5/28/18,1,1519.85,16,0,0,6/1/18
Ford,Ka,2018,7,Silver,2015,Hatchback,10255,1.2L,Manual,Petrol,6495,4,3,Starter Motor Issue,0,4,7/4/18,1,124.95,3,0,0,7/4/18
Honda,CR-V,2018,8,Red,2002,SUV,111200,2.0L,Manual,Petrol,1495,5,5,Excessive Emissions,0,14,8/14/18,1,21.3455,1,0,0,8/14/18
Ford,Focus,2018,5,White,2015,Hatchback,20000,1.0L,Manual,Petrol,9240,5,5,Starter Motor Issue,0,20,5/20/18,1,152.4,3,0,0,5/20/18
Ford,Fiesta,2018,4,Brown,2012,Hatchback,44307,1.25L,Manual,Petrol,5475,5,5,Engine Issue,2,12,4/12/18,1,1141.25,16,0,0,4/16/18
Ford,Kuga,2018,7,Black,2015,SUV,14551,1.5L,Manual,Petrol,12495,5,5,Sensor Malfunction,0,5,7/5/18,1,4091.623485,2329.990314,1,0,7/17/18
Citroen,C3 Aircross,2021,6,Silver,2019,SUV,17048,1.2L,Manual,Petrol,10995,5,5,Brake Pads Worn,0,11,6/11/21,2,85.4975,4,0,0,6/12/21
Ford,Focus C-Max,2018,8,Black,2006,MPV,118236,1.6L,Manual,Petrol,1490,5,5,Electrical Issue,4,27,8/27/18,1,44.47,2,0,0,8/27/18
Ford,Fiesta,2018,8,Gelb,2018,Hatchback,7683,1.0L,Manual,Petrol,13500,5,3,Engine Issue,2,16,8/16/18,1,10173.51828,16,1,1,8/20/18
Ford,Galaxy,2018,4,Blue,2006,MPV,105000,2.0L,Manual,Diesel,3790,7,5,Alternator Failing,0,4,4/4/18,1,115.8,2,0,0,4/4/18
Ford,Mondeo,2018,8,Black,2011,Estate,187500,1.6L,Manual,Diesel,1495,5,5,Windscreen Crack,0,7,8/7/18,1,20.897,1,0,0,8/7/18
Dacia,Sandero Stepway,2018,4,Gelb,2016,Hatchback,26250,1.5L,Manual,Diesel,8599,5,5,Transmission Issue,3,22,4/22/18,1,237.391,8,1,1,4/24/18
DS,3,2018,4,Black,2016,Hatchback,6175,1.2L,Automatic,Petrol,12995,5,3,Brake Pads Worn,0,19,4/19/18,2,86.4975,4,0,0,4/20/18
Citroen,DS3,2018,7,Black,2012,Hatchback,49734,1.6L,Manual,Petrol,5795,5,3,Starter Motor Issue,0,28,7/28/18,2,177.95,6,0,0,7/29/18
Ford,Ka,2018,8,Silver,2015,Hatchback,7216,1.2L,Manual,Petrol,6450,4,3,Flat Tyres,0,21,8/21/18,1,21.935,1,0,0,8/21/18
Fiat,500,2018,6,Gelb,2015,Hatchback,19000,1.2L,Manual,Petrol,6995,4,3,Sensor Malfunction,0,16,6/16/18,1,409.75,3,1,1,6/16/18
Honda,CR-V,2018,8,Brown,2010,SUV,62602,2.0L,Automatic,Petrol,10000,5,5,Brake Pads Worn,0,23,8/23/18,1,45,2,0,0,8/23/18
Honda,Jazz,2018,6,Red,2002,Hatchback,75212,1.4L,Manual,Petrol,890,5,5,Alternator Failing,0,8,6/8/18,1,57.8,2,0,0,6/8/18
Ford,Mondeo,2018,5,Silver,2014,Hatchback,95000,2.0L,Manual,Diesel,5995,5,5,Sensor Malfunction,0,21,5/21/18,1,359.75,3,0,0,5/21/18
Honda,FR-V,2018,4,Grey,2005,MPV,81000,2.2L,Manual,Diesel,2995,6,5,Engine Issue,1,5,4/5/18,1,3836.61425,8,1,0,4/7/18
Chevrolet,Lacetti,2018,8,Blue,2008,Estate,820000,1.8L,Automatic,Petrol,325,5,5,Engine Issue,3,8,8/8/18,1,272.5,12,0,0,8/11/18
Honda,Civic,2018,5,Brown,2014,Hatchback,31569,1.6L,Manual,Diesel,10780,5,5,Warning Light,0,25,5/25/18,1,1656.880826,9,1,0,5/27/18
Honda,Jazz,2018,2,Blue,2005,Hatchback,79000,1.4L,Automatic,Petrol,3250,5,5,Flat Tyres,0,2,2/2/18,1,20.975,1,0,0,2/2/18
Citroen,DS3,2018,5,Red,2013,Hatchback,45045,1.6L,Manual,Diesel,6530,5,3,Windscreen Crack,0,24,5/24/18,2,43.918,2,0,0,5/24/18
Ford,Ka,2018,5,Black,2010,Hatchback,58000,1.2L,Manual,Petrol,3250,4,3,Gear Box Issue,0,20,5/20/18,1,72.5,2,0,0,5/20/18
Citroen,C4,2018,8,Black,2015,Hatchback,41850,1.6L,Manual,Diesel,6990,5,5,Warning Light,0,20,8/20/18,2,429.9,18,0,0,8/24/18
Ford,Fiesta,2018,9,Grey,2010,Hatchback,36456,1.4L,Manual,Diesel,4995,5,5,Radiator Leaking,0,16,9/16/18,1,139.9,2,0,0,9/16/18
Ford,Grand C-Max,2018,5,Blue,2012,MPV,65000,2.0L,Automatic,Diesel,8000,7,5,Brake Pads Worn,0,4,5/4/18,1,44,2,0,0,5/4/18
Ford,Focus,2017,11,Gelb,2010,Hatchback,900000,1.6L,Manual,Petrol,1500,5,5,Sensor Malfunction,0,8,11/8/17,1,538.7001401,476.1462615,1,1,12/7/17
Ford,Kuga,2018,8,Black,2013,SUV,27329,2.0L,Manual,Diesel,12470,5,5,Gear Box Issue,0,14,8/14/18,1,164.7,2,0,0,8/14/18
Fiat,Panda,2018,4,Black,2009,Hatchback,23640,1.1L,Manual,Petrol,2895,4,5,Brake Pads Worn,0,21,4/21/18,1,41.4475,2,0,0,4/21/18
Ford,S-Max,2018,3,Silver,2010,MPV,113000,2.0L,Manual,Diesel,4000,7,5,Sensor Malfunction,0,26,3/26/18,1,260,3,0,0,3/26/18
Ford,C-Max,2018,6,Blue,2011,MPV,79000,1.6L,Manual,Diesel,4690,5,5,Engine Issue,3,18,6/18/18,1,709,12,0,0,6/21/18
Fiat,500,2018,8,Purple,2015,Hatchback,28000,1.2L,Manual,Petrol,6287,4,3,Steering Wheel Shaking,0,1,8/1/18,1,26.287,1,0,0,8/1/18
Ford,Fiesta,2018,8,Silver,2005,Hatchback,91000,1.25L,Manual,Petrol,995,5,3,Flat Tyres,0,22,8/22/18,1,20.2985,1,0,0,8/22/18
Ford,Ranger,2018,8,Gelb,2016,Pickup,26200,3.2L,Automatic,Diesel,24594,5,4,Gear Box Issue,0,15,8/15/18,1,285.94,2,1,1,8/15/18
Ford,Kuga,2018,8,Red,2015,SUV,46384,2.0L,Manual,Diesel,13990,5,5,Alternator Failing,0,1,8/1/18,1,319.8,2,0,0,8/1/18
Ford,C-Max,2018,7,Gold,2012,MPV,75000,1.6L,Manual,Diesel,6495,5,5,Engine Issue,2,16,7/16/18,1,1294.25,16,0,0,7/20/18
Ford,Kuga,2018,8,Red,2015,SUV,46041,2.0L,Manual,Diesel,11059,5,5,Electrical Issue,4,8,8/8/18,1,73.177,2,0,0,8/8/18
Ford,Ka,2018,1,Blue,2009,Hatchback,50750,1.2L,Manual,Petrol,2995,4,3,Radiator Leaking,0,21,1/21/18,1,99.9,2,0,0,1/21/18
Ford,Fiesta,2018,8,Green,2004,Hatchback,100021,1.4L,Manual,Petrol,550,5,3,Alternator Failing,0,10,8/10/18,1,51,2,0,0,8/10/18
Ford,EcoSport,2018,5,Gelb,2017,SUV,9827,1.0L,Manual,Petrol,12995,5,5,Steering Wheel Shaking,0,11,5/11/18,1,32.995,1,1,1,5/11/18
Citroen,DS3,2018,2,Red,2010,Hatchback,65900,1.6L,Manual,Petrol,4495,5,3,Radiator Leaking,0,8,2/8/18,2,169.9,4,0,0,2/9/18
Ford,Mondeo,2017,9,Silver,2010,Hatchback,127000,2.0L,Manual,Diesel,3495,5,5,Alternator Failing,0,25,9/25/17,1,109.9,2,0,0,9/25/17
Ford,Fiesta,2018,4,Yellow,2015,Hatchback,11263,1.6L,Automatic,Petrol,9850,5,5,Transmission Issue,3,11,4/11/18,1,248.65,8,0,0,4/13/18
Ford,Focus,2018,6,Black,2009,Hatchback,110000,1.6L,Manual,Petrol,1480,5,5,Windscreen Crack,0,18,6/18/18,1,20.888,1,0,0,6/18/18
Citroen,Grand C4 Picasso,2018,2,Beige,2009,MPV,96000,1.6L,Automatic,Diesel,2850,7,5,Flat Tyres,0,16,2/16/18,2,40.855,2,0,0,2/16/18
Citroen,Berlingo,2018,4,White,2014,Combi Van,72756,1.6L,Manual,Diesel,7794,5,6,Flat Tyres,0,12,4/12/18,2,42.3382,2,0,0,4/12/18
Citroen,C3,2018,7,White,2011,Hatchback,37310,1.4L,Manual,Diesel,4850,5,5,Brake Pads Worn,0,4,7/4/18,2,82.425,4,0,0,7/5/18
Ford,Kuga,2018,6,Black,2015,SUV,27956,2.0L,Manual,Diesel,11700,5,5,Brake Pads Worn,0,24,6/24/18,1,45.85,2,0,0,6/24/18
Citroen,DS5,2018,8,Silver,2015,Hatchback,104190,1.6L,Manual,Diesel,8000,5,5,Gear Box Issue,0,16,8/16/18,2,160,4,0,0,8/17/18
Honda,CR-V,2018,1,Silver,2010,SUV,122000,2.2L,Manual,Diesel,5750,5,5,Starter Motor Issue,0,20,1/20/18,1,117.5,3,0,0,1/20/18
Ford,Fiesta,2021,5,White,2019,Hatchback,10379,1.0L,Manual,Petrol,12500,5,5,Engine Issue,4,22,5/22/21,1,825,10,0,0,5/24/21
